+ ---- + -------------------------- + ---- + ------- + ------- +
| Rank | Combos of 2                | Use  | Usage % |  Win %  |
+ ---- + -------------------------- + ---- + ------- + ------- +
| 1    | Mienfoo / Vullaby          |   33 |  55.00% |  54.55% |
| 2    | Vullaby / Ferroseed        |   22 |  36.67% |  45.45% |
| 3    | Pawniard / Vullaby         |   18 |  30.00% |  50.00% |
| 3    | Diglett / Vullaby          |   18 |  30.00% |  44.44% |
| 5    | Koffing / Vullaby          |   17 |  28.33% |  64.71% |
| 6    | Vullaby / Mareanie         |   15 |  25.00% |  60.00% |
| 6    | Mienfoo / Ferroseed        |   15 |  25.00% |  53.33% |
| 8    | Ponyta-Galar / Vullaby     |   14 |  23.33% |  64.29% |
| 9    | Mienfoo / Mareanie         |   13 |  21.67% |  61.54% |
| 9    | Mienfoo / Diglett          |   13 |  21.67% |  53.85% |
| 9    | Mienfoo / Koffing          |   13 |  21.67% |  53.85% |
| 12   | Koffing / Ferroseed        |   12 |  20.00% |  50.00% |
| 12   | Vullaby / Grookey          |   12 |  20.00% |  50.00% |
| 12   | Mienfoo / Pawniard         |   12 |  20.00% |  41.67% |
| 15   | Ponyta-Galar / Mienfoo     |   11 |  18.33% |  54.55% |
| 15   | Onix / Vullaby             |   11 |  18.33% |  54.55% |
| 17   | Vullaby / Omanyte          |   10 |  16.67% |  60.00% |
| 17   | Vullaby / Abra             |   10 |  16.67% |  50.00% |
| 17   | Vullaby / Ponyta           |   10 |  16.67% |  30.00% |
| 20   | Mudbray / Vullaby          |    9 |  15.00% |  77.78% |
| 20   | Koffing / Omanyte          |    9 |  15.00% |  55.56% |
| 20   | Timburr / Vullaby          |    9 |  15.00% |  55.56% |
| 20   | Onix / Mienfoo             |    9 |  15.00% |  44.44% |
| 20   | Diglett / Pawniard         |    9 |  15.00% |  44.44% |
| 20   | Pawniard / Mareanie        |    9 |  15.00% |  33.33% |
| 26   | Ferroseed / Omanyte        |    8 |  13.33% |  50.00% |
| 27   | Mudbray / Mienfoo          |    7 |  11.67% |  71.43% |
| 27   | Mienfoo / Abra             |    7 |  11.67% |  71.43% |
